,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
22,510.0,38.0,4.0,0.0,1.0,1.0,0.0,118913.53,1.0,0,0,1,1,0
23,669.0,46.0,3.0,0.0,2.0,0.0,1.0,8487.75,0.0,1,0,0,0,1
24,846.0,38.0,5.0,0.0,1.0,1.0,1.0,187616.16,0.0,1,0,0,1,0
25,577.0,25.0,3.0,0.0,2.0,0.0,1.0,124508.29,0.0,1,0,0,0,1
26,756.0,36.0,2.0,136815.64,1.0,1.0,1.0,170041.95,0.0,0,1,0,0,1
27,571.0,44.0,9.0,0.0,2.0,0.0,0.0,38433.35,0.0,1,0,0,0,1
28,574.0,43.0,3.0,141349.43,1.0,1.0,1.0,100187.43,0.0,0,1,0,1,0
29,411.0,29.0,0.0,59697.17,2.0,1.0,1.0,53483.21,0.0,1,0,0,0,1
30,591.0,39.0,3.0,0.0,3.0,1.0,0.0,140469.38,1.0,0,0,1,1,0
31,533.0,36.0,7.0,85311.7,1.0,0.0,1.0,156731.91,0.0,1,0,0,0,1
32,652.0,41.0,9.0,110112.54,2.0,0.0,0.0,81898.81,0.0,0,1,0,0,1
33,520.0,42.0,6.0,0.0,2.0,1.0,1.0,34410.55,0.0,0,0,1,1,0
34,722.0,29.0,9.0,0.0,2.0,1.0,1.0,142033.07,0.0,0,0,1,1,0
35,475.0,45.0,0.0,134264.04,1.0,1.0,0.0,27822.99,1.0,1,0,0,1,0
36,490.0,31.0,3.0,145260.23,1.0,0.0,1.0,114066.77,0.0,0,0,1,0,1
37,804.0,33.0,7.0,76548.6,1.0,0.0,1.0,98453.45,0.0,0,1,0,0,1
38,850.0,36.0,7.0,0.0,1.0,1.0,1.0,40812.9,0.0,1,0,0,0,1
39,582.0,41.0,6.0,70349.48,2.0,0.0,1.0,178074.04,0.0,0,1,0,0,1
40,472.0,40.0,4.0,0.0,1.0,1.0,0.0,70154.22,0.0,0,0,1,0,1
41,465.0,51.0,8.0,122522.32,1.0,0.0,0.0,181297.65,1.0,1,0,0,1,0
42,556.0,61.0,2.0,117419.35,1.0,1.0,1.0,94153.83,0.0,1,0,0,1,0
43,834.0,49.0,2.0,131394.56,1.0,0.0,0.0,194365.76,1.0,1,0,0,1,0
44,660.0,61.0,5.0,155931.11,1.0,1.0,1.0,158338.39,0.0,0,0,1,1,0
45,776.0,32.0,4.0,109421.13,2.0,1.0,1.0,126517.46,0.0,0,1,0,1,0
46,829.0,27.0,9.0,112045.67,1.0,1.0,1.0,119708.21,1.0,0,1,0,1,0
47,637.0,39.0,9.0,137843.8,1.0,1.0,1.0,117622.8,1.0,0,1,0,1,0
48,550.0,38.0,2.0,103391.38,1.0,0.0,1.0,90878.13,0.0,0,1,0,0,1
49,776.0,37.0,2.0,103769.22,2.0,1.0,0.0,194099.12,0.0,0,1,0,1,0
50,698.0,44.0,10.0,97055.145,2.0,1.0,0.0,198059.16,0.0,0,1,0,0,1
51,585.0,36.0,5.0,146050.97,2.0,0.0,0.0,86424.57,0.0,0,1,0,0,1
52,788.0,33.0,5.0,0.0,2.0,0.0,0.0,116978.19,0.0,1,0,0,1,0
53,655.0,41.0,8.0,125561.97,1.0,0.0,0.0,164040.94,1.0,0,1,0,0,1
54,601.0,42.0,1.0,98495.72,1.0,1.0,0.0,40014.76,1.0,0,1,0,0,1
55,619.0,43.0,1.0,125211.92,1.0,1.0,1.0,113410.49,0.0,1,0,0,0,1
56,656.0,45.0,5.0,127864.4,1.0,1.0,0.0,87107.57,0.0,1,0,0,0,1
57,725.0,19.0,0.0,75888.2,1.0,0.0,0.0,45613.75,0.0,0,1,0,0,1
58,511.0,66.0,4.0,0.0,1.0,1.0,0.0,1643.11,1.0,0,0,1,1,0
59,614.0,51.0,4.0,40685.92,1.0,1.0,1.0,46775.28,0.0,1,0,0,0,1
60,742.0,35.0,5.0,136857.0,1.0,0.0,0.0,84509.57,0.0,0,1,0,0,1
61,687.0,27.0,9.0,97055.145,2.0,0.0,0.0,126494.82,0.0,0,1,0,1,0
62,555.0,33.0,1.0,56084.69,2.0,0.0,0.0,178798.13,0.0,0,0,1,0,1
63,684.0,56.0,8.0,78707.16,1.0,1.0,1.0,99398.36,0.0,0,0,1,0,1
64,603.0,26.0,4.0,109166.37,1.0,1.0,1.0,92840.67,0.0,0,1,0,0,1
65,751.0,36.0,6.0,169831.46,2.0,1.0,1.0,27758.36,0.0,0,1,0,1,0
66,581.0,34.0,1.0,101633.04,1.0,1.0,0.0,110431.51,0.0,0,1,0,1,0
67,735.0,43.0,10.0,123180.01,1.0,1.0,1.0,196673.28,0.0,0,1,0,0,1
68,661.0,35.0,5.010912003203524,150725.53,2.0,0.0,1.0,113656.85,0.0,0,1,0,1,0
69,675.0,21.0,8.0,98373.26,1.0,1.0,0.0,18203.0,0.0,1,0,0,1,0
70,738.0,58.0,2.0,133745.44,4.0,1.0,0.0,28373.86,1.0,0,1,0,0,1
71,813.0,29.0,6.0,0.0,1.0,1.0,0.0,33953.87,0.0,1,0,0,0,1
72,657.0,37.0,0.0,163607.18,1.0,0.0,1.0,44203.55,0.0,0,0,1,1,0
73,604.0,25.0,5.0,157780.84,2.0,1.0,1.0,58426.81,0.0,0,1,0,1,0
74,519.0,36.0,9.0,0.0,2.0,0.0,1.0,145562.4,0.0,1,0,0,0,1
75,735.0,21.0,1.0,178718.19,2.0,1.0,0.0,22388.0,0.0,1,0,0,1,0
76,664.0,55.0,8.0,0.0,2.0,1.0,1.0,139161.64,0.0,1,0,0,0,1
77,678.0,32.0,9.0,0.0,1.0,1.0,1.0,148210.64,0.0,1,0,0,1,0
78,757.0,33.0,5.0,77253.22,1.0,0.0,1.0,194239.63,0.0,0,0,1,0,1
79,416.0,41.0,10.0,122189.66,2.0,1.0,0.0,98301.61,0.0,0,1,0,1,0
80,665.0,34.0,1.0,96645.54,2.0,0.0,0.0,171413.66,0.0,1,0,0,1,0
81,777.0,32.0,2.0,0.0,1.0,1.0,0.0,136458.19,1.0,1,0,0,1,0
82,543.0,36.0,3.0,0.0,2.0,0.0,0.0,26019.59,0.0,1,0,0,1,0
83,506.0,34.0,4.0,90307.62,1.0,1.0,1.0,159235.29,0.0,1,0,0,1,0
84,493.0,46.0,4.0,0.0,2.0,1.0,0.0,1907.66,0.0,1,0,0,1,0
85,652.0,75.0,10.0,0.0,2.0,1.0,1.0,114675.75,0.0,0,0,1,1,0
86,750.0,22.0,3.0,121681.82,1.0,1.0,0.0,128643.35,1.0,0,0,1,0,1
87,729.0,30.0,9.0,0.0,2.0,1.0,0.0,151869.35,0.0,1,0,0,0,1
88,646.0,46.0,4.0,0.0,3.0,1.0,0.0,93251.42,1.0,1,0,0,1,0
89,635.0,28.0,3.0,81623.67,2.0,1.0,1.0,156791.36,0.0,0,1,0,1,0
90,647.0,44.0,5.0,0.0,3.0,1.0,1.0,174205.22,1.0,0,0,1,1,0
91,808.0,45.0,7.0,118626.55,2.0,1.0,0.0,147132.46,0.0,1,0,0,0,1
92,524.0,36.0,10.0,0.0,2.0,1.0,0.0,109614.57,0.0,1,0,0,1,0
93,769.0,29.0,8.0,0.0,2.0,1.0,1.0,172290.61,0.0,1,0,0,0,1
94,730.0,42.0,4.0,0.0,2.0,0.0,1.0,85982.47,0.0,0,0,1,0,1
95,515.0,35.0,10.0,176273.95,1.0,0.0,1.0,121277.78,0.0,0,0,1,0,1
96,773.0,41.0,9.0,102827.44,1.0,0.0,1.0,64595.25,0.0,0,0,1,0,1
97,814.0,29.0,8.0,97086.4,2.0,1.0,1.0,197276.13,0.0,0,1,0,0,1
98,710.0,22.0,8.0,0.0,2.0,0.0,0.0,99645.04,0.0,0,0,1,0,1
99,413.0,34.0,9.0,0.0,2.0,0.0,0.0,6534.18,0.0,1,0,0,0,1
100,665.0,40.0,6.0,0.0,1.0,1.0,1.0,161848.03,0.0,1,0,0,1,0
101,623.0,44.0,6.0,0.0,2.0,0.0,0.0,167162.43,0.0,1,0,0,1,0
102,738.0,31.0,9.0,82674.15,1.0,1.0,0.0,41970.72,0.0,1,0,0,0,1
103,528.0,36.0,7.0,0.0,2.0,1.0,0.0,60536.56,0.0,0,0,1,0,1
104,670.0,65.0,1.0,0.0,1.0,1.0,1.0,177655.68,1.0,0,0,1,1,0
105,622.0,46.0,4.0,107073.27,2.0,1.0,1.0,30984.59,1.0,0,0,1,1,0
106,582.0,32.0,1.0,88938.62,1.0,1.0,1.0,10054.53,0.0,0,1,0,0,1
107,785.0,36.0,2.0,99806.85,1.0,0.0,1.0,36976.52,0.0,0,1,0,1,0
108,605.0,33.0,5.0,150092.8,1.0,0.0,0.0,71862.79,0.0,0,0,1,0,1
109,479.0,35.0,9.0,92833.89,1.0,1.0,0.0,99449.86,1.0,0,1,0,0,1
110,685.0,30.0,3.0,90536.81,1.0,0.0,1.0,63082.88,0.0,0,1,0,0,1
111,538.0,39.0,7.0,108055.1,2.0,1.0,0.0,27231.26,0.0,0,1,0,0,1
112,562.0,42.0,2.0,100238.35,1.0,0.0,0.0,86797.41,0.0,1,0,0,0,1
113,675.0,36.0,9.0,106190.55,1.0,0.0,1.0,22994.32,0.0,0,0,1,0,1
114,721.0,28.0,9.0,154475.54,2.0,0.0,1.0,101300.94,1.0,0,1,0,0,1
115,628.0,30.0,9.0,132351.29,2.0,1.0,1.0,74169.13,0.0,0,1,0,1,0
116,668.0,37.0,6.0,167864.4,1.0,1.0,0.0,115638.29,0.0,0,1,0,1,0
117,506.0,41.0,1.0,0.0,2.0,1.0,0.0,31766.3,0.0,1,0,0,1,0
118,524.0,31.0,8.0,107818.63,1.0,1.0,0.0,199725.39,1.0,0,1,0,1,0
119,699.0,34.0,4.0,185173.81,2.0,1.0,0.0,120834.48,0.0,0,1,0,0,1
120,828.0,34.0,8.0,129433.34,2.0,0.0,0.0,38131.77,0.0,1,0,0,0,1
121,674.0,39.0,6.0,120193.42,1.0,0.0,0.0,100130.95,0.0,0,0,1,0,1
122,656.0,39.0,6.0,0.0,2.0,1.0,0.0,141069.88,0.0,1,0,0,1,0
123,684.0,48.0,10.0,126384.42,1.0,1.0,1.0,198129.36,0.0,0,1,0,1,0
124,625.0,28.0,3.0,0.0,1.0,0.0,0.0,183646.41,0.0,1,0,0,1,0
125,432.0,42.0,9.0,152603.45,1.0,1.0,0.0,110265.24,1.0,1,0,0,0,1
126,549.0,52.0,1.0,0.0,1.0,0.0,1.0,8636.05,1.0,1,0,0,1,0
127,625.0,56.0,0.0,148507.24,1.0,1.0,0.0,46824.08,1.0,0,1,0,0,1
128,828.0,41.0,7.0,0.0,2.0,1.0,0.0,171378.77,0.0,1,0,0,1,0
129,770.0,24.0,9.0,101827.07,1.0,1.0,0.0,167256.35,0.0,1,0,0,0,1
130,758.0,34.0,3.0,0.0,2.0,1.0,1.0,124226.16,0.0,1,0,0,1,0
131,795.0,33.0,9.0,130862.43,1.0,1.0,1.0,114935.21,0.0,0,1,0,1,0
132,687.0,38.0,9.0,122570.87,1.0,1.0,1.0,35608.88,0.0,1,0,0,0,1
133,686.0,25.0,1.0,0.0,2.0,0.0,1.0,16459.37,0.0,1,0,0,0,1
134,789.0,39.0,7.0,124828.46,2.0,1.0,1.0,124411.08,0.0,0,1,0,0,1
135,589.0,50.0,5.0,144895.05,2.0,1.0,1.0,34941.23,0.0,0,1,0,1,0
136,461.0,34.0,5.0,63663.93,1.0,0.0,1.0,167784.28,0.0,0,1,0,1,0
137,637.0,40.0,2.0,133463.1,1.0,0.0,1.0,93165.34,0.0,1,0,0,0,1
138,584.0,48.0,2.0,213146.2,1.0,1.0,0.0,75161.25,1.0,0,0,1,1,0
139,579.0,35.0,1.0,129490.36,2.0,0.0,1.0,8590.83,1.0,0,0,1,1,0
140,756.0,44.0,10.0,137452.09,1.0,1.0,0.0,189543.9,0.0,0,1,0,0,1
141,663.0,34.0,7.0,0.0,2.0,1.0,1.0,180427.24,0.0,1,0,0,0,1
142,682.0,43.0,5.0,125851.93,1.0,1.0,1.0,193318.33,0.0,1,0,0,1,0
143,793.0,52.0,2.0,0.0,1.0,1.0,0.0,159123.82,1.0,0,0,1,0,1
144,691.0,31.0,5.0,40915.55,1.0,1.0,0.0,126213.84,1.0,1,0,0,1,0
145,485.0,21.0,5.0,113157.22,1.0,1.0,1.0,54141.5,0.0,0,0,1,1,0
146,635.0,29.0,8.0,138296.94,2.0,1.0,0.0,141075.51,0.0,0,0,1,1,0
147,650.0,37.0,5.0,106967.18,1.0,0.0,0.0,24495.03,0.0,1,0,0,0,1
148,735.0,44.0,9.0,120681.63,1.0,1.0,0.0,74836.34,0.0,1,0,0,0,1
149,416.0,32.0,0.0,0.0,2.0,0.0,1.0,878.87,0.0,1,0,0,0,1
150,754.0,32.0,7.0,0.0,2.0,1.0,0.0,89520.75,0.0,0,0,1,1,0
151,535.0,48.0,9.0,0.0,1.0,1.0,0.0,149892.79,1.0,1,0,0,1,0
152,716.0,42.0,8.0,0.0,2.0,1.0,0.0,180800.42,0.0,0,0,1,0,1
153,539.0,37.0,2.0,127609.59,1.0,1.0,0.0,98646.22,0.0,1,0,0,0,1
154,614.0,43.0,6.0,0.0,2.0,1.0,1.0,109041.53,0.0,1,0,0,1,0
155,706.0,57.0,7.0,0.0,1.0,1.0,0.0,17941.16,1.0,0,0,1,0,1
156,758.0,33.0,7.0,0.0,2.0,0.0,0.0,82996.47,0.0,1,0,0,1,0
157,586.0,28.0,2.0,0.0,2.0,1.0,1.0,92067.35,0.0,0,0,1,1,0
158,646.0,73.0,6.0,97259.25,1.0,0.0,1.0,104719.66,0.0,1,0,0,1,0
159,631.0,33.0,4.0,123246.7,1.0,0.0,0.0,112687.57,0.0,0,1,0,1,0
160,717.0,22.0,6.0,101060.25,1.0,0.0,1.0,84699.56,0.0,0,0,1,1,0
161,684.0,30.0,2.0,0.0,2.0,1.0,0.0,83473.82,0.0,1,0,0,0,1
162,800.0,49.0,7.0,108007.36,1.0,0.0,0.0,47125.11,0.0,1,0,0,1,0
163,721.0,36.0,2.0,0.0,2.0,1.0,1.0,106977.8,0.0,0,0,1,1,0
164,683.0,29.0,0.0,133702.89,1.0,1.0,0.0,55582.54,1.0,0,0,1,0,1
165,660.0,31.0,9.0,125189.75,2.0,1.0,1.0,139874.43,0.0,0,1,0,0,1
166,704.0,24.0,7.0,113034.22,1.0,1.0,0.0,162503.48,1.0,0,1,0,1,0
167,615.0,41.0,9.0,109013.23,1.0,1.0,0.0,196499.96,0.0,0,0,1,1,0
168,667.0,39.0,2.0,0.0,2.0,1.0,0.0,40721.24,1.0,0,0,1,1,0
169,682.0,24.0,9.0,57929.81,2.0,0.0,0.0,53134.3,0.0,0,1,0,0,1
170,484.0,29.0,4.0,130114.39,1.0,1.0,0.0,164017.89,0.0,1,0,0,1,0
171,628.0,27.0,5.0,95826.49,2.0,1.0,0.0,155996.96,0.0,0,1,0,0,1
172,480.0,44.0,10.0,129608.57,1.0,1.0,0.0,5472.7,1.0,0,1,0,0,1
173,578.0,30.0,4.0,169462.09,1.0,1.0,0.0,112187.11,0.0,1,0,0,0,1
174,512.0,40.0,5.0,0.0,2.0,1.0,1.0,146457.83,0.0,1,0,0,0,1
175,484.0,35.0,7.0,133868.21,1.0,1.0,1.0,27286.1,0.0,0,0,1,1,0
176,510.0,30.0,0.0,0.0,2.0,1.0,1.0,130553.47,0.0,1,0,0,1,0
177,606.0,36.0,5.0,190479.48,2.0,0.0,0.0,179351.89,0.0,0,1,0,0,1
178,597.0,40.0,8.0,101993.12,1.0,0.0,1.0,94774.12,0.0,0,0,1,1,0
179,754.0,55.0,3.0,161608.81,1.0,1.0,0.0,8080.85,1.0,0,1,0,1,0
180,850.0,45.0,2.0,122311.21,1.0,1.0,1.0,19482.5,0.0,0,0,1,1,0
181,510.0,65.0,2.0,0.0,2.0,1.0,1.0,48071.61,0.0,1,0,0,0,1
182,778.0,45.0,1.0,162150.42,2.0,1.0,0.0,174531.27,0.0,0,1,0,1,0
183,636.0,42.0,2.0,0.0,2.0,1.0,1.0,55470.78,0.0,1,0,0,0,1
184,804.0,50.0,4.0,0.0,1.0,1.0,1.0,8546.87,1.0,1,0,0,1,0
185,514.0,32.0,8.0,0.0,2.0,1.0,0.0,95857.18,0.0,1,0,0,0,1
186,730.0,39.0,1.0,99010.67,1.0,1.0,0.0,194945.8,0.0,1,0,0,1,0
187,525.0,37.0,0.0,0.0,1.0,0.0,1.0,131521.72,0.0,0,0,1,1,0
188,616.0,30.0,5.0,0.0,2.0,0.0,1.0,196108.51,0.0,0,0,1,0,1
189,687.0,34.0,7.0,111388.18,2.0,1.0,0.0,148564.76,0.0,0,1,0,1,0
190,715.0,41.0,8.0,56214.85,2.0,0.0,0.0,92982.61,1.0,1,0,0,1,0
191,512.0,36.0,3.0,84327.77,2.0,1.0,0.0,17675.36,0.0,1,0,0,1,0
192,479.0,40.0,1.0,0.0,2.0,0.0,0.0,114996.43,0.0,1,0,0,0,1
193,601.0,32.0,8.0,93012.89,1.0,1.0,0.0,86957.42,0.0,1,0,0,0,1
194,580.0,29.0,9.0,61710.44,2.0,1.0,0.0,128077.8,0.0,0,0,1,0,1
195,807.0,35.0,3.0,174790.15,1.0,1.0,1.0,600.36,0.0,1,0,0,0,1
196,616.0,32.0,6.0,0.0,2.0,1.0,1.0,43001.46,0.0,0,0,1,1,0
197,721.0,37.0,3.0,107720.64,1.0,1.0,1.0,158591.12,0.0,0,1,0,0,1
198,501.0,57.0,10.0,0.0,2.0,1.0,1.0,47847.19,0.0,1,0,0,0,1
199,521.0,35.0,6.0,96423.84,1.0,1.0,0.0,10488.44,0.0,1,0,0,0,1
200,850.0,30.0,2.0,141040.01,1.0,1.0,1.0,5978.2,0.0,0,0,1,0,1
201,759.0,42.0,4.0,105420.18,1.0,0.0,1.0,121409.06,0.0,1,0,0,0,1
202,516.0,50.0,5.0,0.0,1.0,0.0,1.0,146145.93,1.0,0,0,1,0,1
203,711.0,38.0,2.0,129022.06,2.0,1.0,1.0,14374.86,1.0,1,0,0,1,0
204,512.0,33.0,3.0,176666.62,1.0,1.0,0.0,94670.77,0.0,0,0,1,0,1
205,550.0,37.0,3.0,0.0,1.0,1.0,1.0,179670.31,0.0,1,0,0,0,1
206,608.0,41.0,3.0,89763.84,1.0,0.0,0.0,199304.74,1.0,0,0,1,1,0
207,618.0,34.0,5.0,134954.53,1.0,1.0,1.0,151954.39,0.0,1,0,0,0,1
208,643.0,45.0,5.0,0.0,1.0,1.0,0.0,142513.5,1.0,1,0,0,0,1
209,671.0,45.0,2.0,106376.85,1.0,0.0,1.0,158264.62,0.0,1,0,0,0,1
210,689.0,33.0,2.0,161814.64,2.0,1.0,0.0,169381.9,0.0,0,1,0,0,1
211,603.0,31.0,8.0,0.0,2.0,1.0,1.0,169915.02,0.0,1,0,0,0,1
212,620.0,41.0,9.0,0.0,2.0,0.0,0.0,88852.47,0.0,1,0,0,1,0
213,676.0,34.0,1.0,63095.01,1.0,1.0,1.0,40645.81,0.0,1,0,0,1,0
214,572.0,26.0,4.0,118287.01,2.0,0.0,0.0,60427.3,0.0,0,1,0,0,1
215,668.0,47.0,7.0,106854.21,1.0,0.0,1.0,157959.02,1.0,0,1,0,0,1
216,695.0,46.0,7.0,49512.55,1.0,1.0,0.0,133007.34,0.0,1,0,0,0,1
217,730.0,33.0,9.0,0.0,2.0,0.0,0.0,176576.62,0.0,0,0,1,1,0
218,807.0,43.0,1.0,105799.32,2.0,1.0,0.0,34888.04,1.0,1,0,0,0,1
219,592.0,54.0,8.0,0.0,1.0,1.0,1.0,28737.71,1.0,1,0,0,0,1
220,726.0,31.0,9.0,114722.05,2.0,1.0,1.0,98178.57,0.0,1,0,0,1,0
221,514.0,30.0,7.0,0.0,1.0,0.0,1.0,125010.24,0.0,0,0,1,0,1
222,567.0,42.0,2.0,0.0,2.0,1.0,1.0,167984.61,0.0,1,0,0,0,1
223,850.0,33.0,10.0,0.0,1.0,1.0,0.0,4861.72,1.0,1,0,0,0,1
224,671.0,45.0,6.0,99564.22,1.0,1.0,1.0,108872.45,1.0,0,1,0,0,1
225,670.0,37.0,4.0,170557.91,2.0,1.0,0.0,198252.88,0.0,1,0,0,0,1
226,694.0,30.0,9.0,0.0,2.0,1.0,1.0,26960.31,0.0,1,0,0,1,0
227,547.0,39.0,6.0,74596.15,3.0,1.0,1.0,85746.52,1.0,0,1,0,1,0
228,751.0,50.0,2.0,96888.39,1.0,1.0,0.0,77206.25,1.0,0,1,0,0,1
229,594.0,29.0,3.0,130830.22,1.0,1.0,0.0,61048.53,0.0,0,1,0,1,0
230,673.0,72.0,1.0,0.0,2.0,0.0,1.0,111981.19,0.0,1,0,0,0,1
231,610.0,40.0,0.0,0.0,2.0,1.0,0.0,62232.6,0.0,1,0,0,0,1
232,512.0,37.0,1.0,0.0,2.0,0.0,1.0,156105.03,0.0,1,0,0,1,0
233,767.0,20.0,3.0,119714.25,2.0,0.0,1.0,150135.38,0.0,0,1,0,0,1
234,585.0,67.0,5.0,113978.97,2.0,0.0,1.0,93146.11,0.0,1,0,0,1,0
235,763.0,42.0,6.0,100160.75,1.0,1.0,0.0,33462.94,1.0,0,1,0,0,1
236,712.0,29.0,2.0,0.0,1.0,1.0,1.0,144375.0,0.0,1,0,0,1,0
237,539.0,43.0,3.0,116220.5,3.0,1.0,0.0,55803.96,1.0,0,1,0,1,0
238,668.0,46.0,2.0,0.0,3.0,1.0,0.0,89048.46,1.0,1,0,0,1,0
239,703.0,28.0,2.0,81173.83,2.0,0.0,1.0,162812.16,0.0,1,0,0,0,1
240,662.0,38.0,4.0,0.0,2.0,1.0,0.0,136259.65,0.0,0,0,1,0,1
241,725.0,39.0,5.0,116803.8,1.0,1.0,0.0,124052.97,0.0,0,1,0,1,0
242,703.0,37.0,8.0,105961.68,2.0,0.0,1.0,74158.8,0.0,1,0,0,0,1
243,659.0,67.0,6.0,117411.6,1.0,1.0,1.0,45071.09,1.0,0,1,0,0,1
244,523.0,34.0,7.0,0.0,2.0,1.0,0.0,62030.06,0.0,0,0,1,0,1
245,635.0,40.0,10.0,123497.58,1.0,1.0,0.0,131953.23,1.0,1,0,0,1,0
246,772.0,26.0,7.0,152400.51,2.0,1.0,0.0,79414.0,0.0,0,1,0,0,1
247,545.0,26.0,1.0,0.0,2.0,1.0,1.0,199638.56,0.0,1,0,0,1,0
248,634.0,24.0,8.0,103097.85,1.0,1.0,1.0,157577.29,0.0,0,1,0,0,1
249,739.0,54.0,8.0,126418.14,1.0,1.0,0.0,134420.75,1.0,0,1,0,0,1
250,771.0,36.0,5.0,77846.9,1.0,0.0,0.0,99805.99,0.0,0,1,0,1,0
251,587.0,34.0,1.0,0.0,2.0,1.0,1.0,97932.68,0.0,0,0,1,1,0
252,681.0,79.0,0.0,0.0,2.0,0.0,1.0,170968.99,0.0,1,0,0,1,0
253,544.0,37.0,2.0,79731.91,1.0,1.0,1.0,57558.95,0.0,0,1,0,0,1
254,696.0,28.0,8.0,0.0,1.0,0.0,0.0,176713.47,0.0,0,0,1,0,1
255,766.0,41.0,0.0,0.0,2.0,0.0,1.0,34283.23,0.0,0,0,1,0,1
256,727.0,34.0,10.0,0.0,2.0,1.0,1.0,198637.34,0.0,1,0,0,0,1
257,671.0,34.0,6.0,37266.67,2.0,0.0,0.0,156917.12,0.0,0,1,0,1,0
258,693.0,30.0,6.0,127992.25,1.0,1.0,1.0,50457.2,0.0,1,0,0,1,0
259,850.0,38.0,3.0,54901.01,1.0,1.0,1.0,140075.55,0.0,0,1,0,0,1
260,732.0,42.0,9.0,108748.08,2.0,1.0,1.0,65323.11,0.0,0,1,0,0,1
261,726.0,48.0,6.0,99906.19,1.0,1.0,0.0,64323.24,0.0,0,0,1,1,0
262,557.0,32.0,6.0,184686.41,2.0,1.0,0.0,14956.44,0.0,1,0,0,1,0
263,682.0,26.0,0.0,110654.02,1.0,0.0,1.0,111879.21,0.0,1,0,0,1,0
264,738.0,31.0,9.0,79019.8,1.0,1.0,1.0,18606.23,0.0,0,0,1,0,1
265,531.0,36.0,9.0,99240.51,1.0,1.0,0.0,123137.01,0.0,0,0,1,1,0
266,498.0,34.0,2.0,0.0,2.0,1.0,1.0,148528.24,0.0,1,0,0,0,1
267,651.0,36.0,7.0,0.0,2.0,1.0,0.0,13898.31,0.0,1,0,0,0,1
268,549.0,39.0,7.0,0.0,1.0,0.0,0.0,81259.25,1.0,0,0,1,1,0
269,791.0,35.0,7.0,52436.2,1.0,1.0,0.0,161051.75,0.0,0,1,0,1,0
270,650.0,41.0,9.0,0.0,2.0,0.0,1.0,191599.67,0.0,0,0,1,0,1
271,733.0,34.0,3.0,100337.96,3.0,1.0,0.0,48559.19,1.0,0,1,0,0,1
272,811.0,34.0,1.0,149297.19,2.0,1.0,1.0,186339.74,0.0,0,1,0,1,0
273,707.0,30.0,8.0,0.0,2.0,1.0,0.0,33159.37,0.0,1,0,0,0,1
274,712.0,28.0,4.0,145605.44,1.0,0.0,1.0,93883.53,0.0,0,1,0,0,1
275,706.0,37.0,7.0,0.0,2.0,1.0,1.0,110899.3,0.0,0,0,1,1,0
276,756.0,62.0,3.0,0.0,1.0,1.0,1.0,11199.04,1.0,1,0,0,0,1
277,777.0,53.0,10.0,0.0,2.0,1.0,0.0,189992.97,0.0,1,0,0,1,0
